"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Neural Task Programming: Learning to Generalize Across Hierarchical Tasks","D. Xu; S. Nair; Y. Zhu; J. Gao; A. Garg; L. Fei-Fei; S. Savarese","Stanford Vision & Learning Lab; CS, Caltech; Stanford Vision & Learning Lab; Stanford Vision & Learning Lab; Stanford Vision & Learning Lab; Stanford Vision & Learning Lab; Stanford Vision & Learning Lab",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","3795","3802","In this work, we propose a novel robot learning framework called Neural Task Programming (NTP), which bridges the idea of few-shot learning from demonstration and neural program induction. NTP takes as input a task specification (e.g., video demonstration of a task) and recursively decomposes it into finer sub-task specifications. These specifications are fed to a hierarchical neural program, where bottom-level programs are callable subroutines that interact with the environment. We validate our method in three robot manipulation tasks. NTP achieves strong generalization across sequential tasks that exhibit hierarchal and compositional structures. The experimental results show that NTP learns to generalize well towards unseen tasks with increasing lengths, variable topologies, and changing objectives.stanfordvl.github.io/ntp/.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8460689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460689","","Task analysis;Programming;Robots;Sorting;Semantics;Topology;Data models","","71","","33","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Dex-Net 3.0: Computing Robust Vacuum Suction Grasp Targets in Point Clouds Using a New Analytic Model and Deep Learning","J. Mahler; M. Matl; X. Liu; A. Li; D. Gealy; K. Goldberg","Dept. of Electrical Engineering and Computer Science; Dept. of Electrical Engineering and Computer Science; Dept. of Electrical Engineering and Computer Science; Dept. of Electrical Engineering and Computer Science; Dept. of Electrical Engineering and Computer Science; Dept. of Industrial Operations and Engineering Research, AUTOLAB University of California, Berkeley, USA",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","5620","5627","Vacuum-based end effectors are widely used in industry and are often preferred over parallel-jaw and multifinger grippers due to their ability to lift objects with a single point of contact. Suction grasp planners often target planar surfaces on point clouds near the estimated centroid of an object. In this paper, we propose a compliant suction contact model that computes the quality of the seal between the suction cup and local target surface and a measure of the ability of the suction grasp to resist an external gravity wrench. To characterize grasps, we estimate robustness to perturbations in end-effector and object pose, material properties, and external wrenches. We analyze grasps across 1,500 3D object models to generate Dex-Net 3.0, a dataset of 2.8 million point clouds, suction grasps, and grasp robustness labels. We use Dex-Net 3.0 to train a Grasp Quality Convolutional Neural Network (GQ-CNN) to classify robust suction targets in point clouds containing a single object. We evaluate the resulting system in 350 physical trials on an ABB YuMi fitted with a pneumatic suction gripper. When evaluated on novel objects that we categorize as Basic (prismatic or cylindrical), Typical (more complex geometry), and Adversarial (with few available suction-grasp points) Dex-Net 3.0 achieves success rates of 98%, 82%, and 58% respectively, improving to 81% in the latter case when the training set includes only adversarial objects. Code, datasets, and supplemental material can be found at http://berkeleyautomation.github.io/dex-net.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8460887","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460887","","Three-dimensional displays;Robustness;Robots;Analytical models;Seals;Computational modeling;Planning","","189","1","35","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"AffordanceNet: An End-to-End Deep Learning Approach for Object Affordance Detection","T. -T. Do; A. Nguyen; I. Reid","Australian Centre for Robotic Vision (ACRV), University of Adelaide; Department of Advanced Robotics, IIT, Italy; Australian Centre for Robotic Vision (ACRV), University of Adelaide",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","5882","5889","We propose AffordanceNet, a new deep learning approach to simultaneously detect multiple objects and their affordances from RGB images. Our AffordanceNet has two branches: an object detection branch to localize and classify the object, and an affordance detection branch to assign each pixel in the object to its most probable affordance label. The proposed framework employs three key components for effectively handling the multiclass problem in the affordance mask: a sequence of deconvolutional layers, a robust resizing strategy, and a multi-task loss function. The experimental results on the public datasets show that our AffordanceNet outperforms recent state-of-the-art methods by a fair margin, while its end-to-end architecture allows the inference at the speed of 150ms per image. This makes our AffordanceNet well suitable for real-time robotic applications. Furthermore, we demonstrate the effectiveness of AffordanceNet in different testing environments and in real robotic applications. The source code is available at https://github.com/nqanh/affordance-net.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8460902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460902","","Feature extraction;Robots;Computer architecture;Object detection;Training;Image segmentation;Machine learning","","146","","31","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Self-Supervised Deep Reinforcement Learning with Generalized Computation Graphs for Robot Navigation","G. Kahn; A. Villaflor; B. Ding; P. Abbeel; S. Levine","Berkeley AI Research (BAIR), University of California, Berkeley; Berkeley AI Research (BAIR), University of California, Berkeley; Berkeley AI Research (BAIR), University of California, Berkeley; Berkeley AI Research (BAIR), University of California, Berkeley; Berkeley AI Research (BAIR), University of California, Berkeley",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","5129","5136","Enabling robots to autonomously navigate complex environments is essential for real-world deployment. Prior methods approach this problem by having the robot maintain an internal map of the world, and then use a localization and planning method to navigate through the internal map. However, these approaches often include a variety of assumptions, are computationally intensive, and do not learn from failures. In contrast, learning-based methods improve as the robot acts in the environment, but are difficult to deploy in the real-world due to their high sample complexity. To address the need to learn complex policies with few samples, we propose a generalized computation graph that subsumes value-based model-free methods and model-based methods, with specific instantiations interpolating between model-free and model-based. We then instantiate this graph to form a navigation model that learns from raw images and is sample efficient. Our simulated car experiments explore the design decisions of our navigation model, and show our approach outperforms single-step and N-step double Q-learning. We also evaluate our approach on a real-world RC car and show it can learn to navigate through a complex indoor environment with a few hours of fully autonomous, self-supervised training. Videos of the experiments and code can be found at github.com/gkahn13/gcg.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8460655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460655","","Computational modeling;Navigation;Learning (artificial intelligence);Robots;Task analysis;Prediction algorithms;Planning","","174","","32","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Sparse-to-Dense: Depth Prediction from Sparse Depth Samples and a Single Image","F. Ma; S. Karaman","The Laboratory for Information & Decision Systems, Massachusetts Institute of Technology, Cambridge, MA, USA; The Laboratory for Information & Decision Systems, Massachusetts Institute of Technology, Cambridge, MA, USA",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","4796","4803","We consider the problem of dense depth prediction from a sparse set of depth measurements and a single RGB image. Since depth estimation from monocular images alone is inherently ambiguous and unreliable, to attain a higher level of robustness and accuracy, we introduce additional sparse depth samples, which are either acquired with a low-resolution depth sensor or computed via visual Simultaneous Localization and Mapping (SLAM) algorithms. We propose the use of a single deep regression network to learn directly from the RGB-D raw data, and explore the impact of number of depth samples on prediction accuracy. Our experiments show that, compared to using only RGB images, the addition of 100 spatially random depth samples reduces the prediction root-mean-square error by 50% on the NYU-Depth-v2 indoor dataset. It also boosts the percentage of reliable prediction from 59 % to 92 % on the KITTI dataset. We demonstrate two applications of the proposed algorithm: a plug-in module in SLAM to convert sparse maps to dense maps, and super-resolution for LiDARs. Software22https://github.com/fangchangma/sparse-to-dense and video demonstration33https://www.youtube.com/watch?v=vNIIT_M7×7Y are publicly available.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8460184","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460184","","Training;Laser radar;Image reconstruction;Estimation;Prediction algorithms;Simultaneous localization and mapping","","380","3","30","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Leveraging Temporal Reasoning for Policy Selection in Learning from Demonstration","E. Carpio; M. Clark-Turner; P. Gesel; M. Begum","Cognitive Assistive Robotics Laboratory, University of New Hampshire, Durham, NH, USA; Cognitive Assistive Robotics Laboratory, University of New Hampshire, Durham, NH, USA; Cognitive Assistive Robotics Laboratory, University of New Hampshire, Durham, NH, USA; Cognitive Assistive Robotics Laboratory, University of New Hampshire, Durham, NH, USA",2019 International Conference on Robotics and Automation (ICRA),"12 Aug 2019","2019","","","7798","7804","High-level human activities often have rich temporal structures that determine the order in which atomic actions are executed. We propose the Temporal Context Graph (TCG), a temporal reasoning model that integrates probabilistic inference with Allen's interval algebra, to capture these temporal structures. TCGs are capable of modeling tasks with cyclical atomic actions and consisting of sequential and parallel temporal relations. We present Learning from Demonstration as the application domain where the use of TCGs can improve policy selection and address the problem of perceptual aliasing. Experiments validating the model are presented for learning two tasks from demonstration that involve structured human-robot interactions. The source code for this implementation is available at https://github.com/AssistiveRoboticsUNH/TCG.","2577-087X","978-1-5386-6027-0","10.1109/ICRA.2019.8794461","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8794461","","Task analysis;Hidden Markov models;Cognition;Context modeling;Robots;Algebra;Probabilistic logic","","1","","26","IEEE","12 Aug 2019","","","IEEE","IEEE Conferences"
"Anytime Stereo Image Depth Estimation on Mobile Devices","Y. Wang; Z. Lai; G. Huang; B. H. Wang; L. van der Maaten; M. Campbell; K. Q. Weinberger",Cornell University; University of Oxford; Cornell University; Cornell University; Facebook AI Research; Cornell University; Cornell University,2019 International Conference on Robotics and Automation (ICRA),"12 Aug 2019","2019","","","5893","5900","Many applications of stereo depth estimation in robotics require the generation of accurate disparity maps in real time under significant computational constraints. Current state-of-the-art algorithms force a choice between either generating accurate mappings at a slow pace, or quickly generating inaccurate ones, and additionally these methods typically require far too many parameters to be usable on power- or memory-constrained devices. Motivated by these shortcomings, we propose a novel approach for disparity prediction in the anytime setting. In contrast to prior work, our end-to-end learned approach can trade off computation and accuracy at inference time. Depth estimation is performed in stages, during which the model can be queried at any time to output its current best estimate. Our final model can process 1242×375 resolution images within a range of 10-35 FPS on an NVIDIA Jetson TX2 module with only marginal increases in error - using two orders of magnitude fewer parameters than the most competitive baseline. The source code is available at https://github.com/mileyan/AnyNet.","2577-087X","978-1-5386-6027-0","10.1109/ICRA.2019.8794003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8794003","","Estimation;Image resolution;Feature extraction;Computational modeling;Three-dimensional displays;Cameras;Predictive models","","129","1","54","IEEE","12 Aug 2019","","","IEEE","IEEE Conferences"
"Quasi-Direct Drive for Low-Cost Compliant Robotic Manipulation","D. V. Gealy; S. McKinley; B. Yi; P. Wu; P. R. Downey; G. Balke; A. Zhao; M. Guo; R. Thomasson; A. Sinclair; P. Cuellar; Z. McCarthy; P. Abbeel","Mechanical Engineering, University of California, Berkeley; Industrial Engineering & Operations Research, University of California, Berkeley; Electrical Engineering & Computer Science, University of California, Berkeley; Electrical Engineering & Computer Science, University of California, Berkeley; Mechanical Engineering, University of California, Berkeley; Electrical Engineering & Computer Science, University of California, Berkeley; Electrical Engineering & Computer Science, University of California, Berkeley; Mechanical Engineering, University of California, Berkeley; Mechanical Engineering, University of California, Berkeley; Mechanical Engineering, University of California, Berkeley; Mechanical Engineering, University of California, Berkeley; Electrical Engineering & Computer Science, University of California, Berkeley; Electrical Engineering & Computer Science, University of California, Berkeley",2019 International Conference on Robotics and Automation (ICRA),"12 Aug 2019","2019","","","437","443","Robots must cost less and be force-controlled to enable widespread, safe deployment in unconstrained human environments. We propose Quasi-Direct Drive actuation as a capable paradigm for robotic force-controlled manipulation in human environments at low-cost. Our prototype - Blue - is a human scale 7 Degree of Freedom arm with 2kg payload. Blue can cost less than $5000. We show that Blue has dynamic properties that meet or exceed the needs of human operators: the robot has a nominal position-control bandwidth of 7.5Hz and repeatability within 4mm. We demonstrate a Virtual Reality based interface that can be used as a method for telepresence and collecting robot training demonstrations. Manufacturability, scaling, and potential use-cases for the Blue system are also addressed. Videos and additional information can be found online at berkeleyopenarms.github.io.","2577-087X","978-1-5386-6027-0","10.1109/ICRA.2019.8794236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8794236","","Manipulators;Payloads;Bandwidth;Robot sensing systems;Task analysis;Belts","","59","","29","IEEE","12 Aug 2019","","","IEEE","IEEE Conferences"
"CNN-SVO: Improving the Mapping in Semi-Direct Visual Odometry Using Single-Image Depth Prediction","S. Y. Loo; A. J. Amiri; S. Mashohor; S. H. Tang; H. Zhang","Faculty of Engineering, Universiti Putra Malaysia, Malaysia; Department of Computing Science, University of Alberta, Canada; Faculty of Engineering, Universiti Putra Malaysia, Malaysia; Faculty of Engineering, Universiti Putra Malaysia, Malaysia; Department of Computing Science, University of Alberta, Canada",2019 International Conference on Robotics and Automation (ICRA),"12 Aug 2019","2019","","","5218","5223","Reliable feature correspondence between frames is a critical step in visual odometry (VO) and visual simultaneous localization and mapping (V-SLAM) algorithms. In comparison with existing VO and V-SLAM algorithms, semi-direct visual odometry (SVO) has two main advantages that lead to state-of-the-art frame rate camera motion estimation: direct pixel correspondence and efficient implementation of probabilistic mapping method. This paper improves the SVO mapping by initializing the mean and the variance of the depth at a feature location according to the depth prediction from a single-image depth prediction network. By significantly reducing the depth uncertainty of the initialized map point (i.e., small variance centred about the depth prediction), the benefits are twofold: reliable feature correspondence between views and fast convergence to the true depth in order to create new map points. We evaluate our method with two outdoor datasets: KITTI dataset and Oxford Robotcar dataset. The experimental results indicate that improved SVO mapping results in increased robustness and camera tracking accuracy. The implementation of this work is available at https: //github.com/yan99033/CNN-SVO","2577-087X","978-1-5386-6027-0","10.1109/ICRA.2019.8794425","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8794425","","Uncertainty;Cameras;Visual odometry;Feature extraction;Reliability;Estimation;Motion estimation","","52","","19","IEEE","12 Aug 2019","","","IEEE","IEEE Conferences"
"Generalization through Simulation: Integrating Simulated and Real Data into Deep Reinforcement Learning for Vision-Based Autonomous Flight","K. Kang; S. Belkhale; G. Kahn; P. Abbeel; S. Levine","Berkeley AI Research (BAIR), University of California, Berkeley; Berkeley AI Research (BAIR), University of California, Berkeley; Berkeley AI Research (BAIR), University of California, Berkeley; Berkeley AI Research (BAIR), University of California, Berkeley; Berkeley AI Research (BAIR), University of California, Berkeley",2019 International Conference on Robotics and Automation (ICRA),"12 Aug 2019","2019","","","6008","6014","Deep reinforcement learning provides a promising approach for vision-based control of real-world robots. However, the generalization of such models depends critically on the quantity and variety of data available for training. This data can be difficult to obtain for some types of robotic systems, such as fragile, small-scale quadrotors. Simulated rendering and physics can provide for much larger datasets, but such data is inherently of lower quality: many of the phenomena that make the real-world autonomous flight problem challenging, such as complex physics and air currents, are modeled poorly or not at all, and the systematic differences between simulation and the real world are typically impossible to eliminate. In this work, we investigate how data from both simulation and the real world can be combined in a hybrid deep reinforcement learning algorithm. Our method uses real-world data to learn about the dynamics of the system, and simulated data to learn a generalizable perception system that can enable the robot to avoid collisions using only a monocular camera. We demonstrate our approach on a real-world nano aerial vehicle collision avoidance task, showing that with only an hour of real-world data, the quadrotor can avoid collisions in new environments with various lighting conditions and geometry. Code, instructions for building the aerial vehicles, and videos of the experiments can be found at github.com/gkahn13/GtS.","2577-087X","978-1-5386-6027-0","10.1109/ICRA.2019.8793735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8793735","","Data models;Robots;Task analysis;Predictive models;Neural networks;Reinforcement learning;Collision avoidance","","69","","45","IEEE","12 Aug 2019","","","IEEE","IEEE Conferences"
"Beyond Photometric Loss for Self-Supervised Ego-Motion Estimation","T. Shen; Z. Luo; L. Zhou; H. Deng; R. Zhang; T. Fang; L. Quan","Department of Computer Science and Engineering, Hong Kong University of Science and Technology; Department of Computer Science and Engineering, Hong Kong University of Science and Technology; Department of Computer Science and Engineering, Hong Kong University of Science and Technology; Department of Computer Science and Engineering, Hong Kong University of Science and Technology; Tencent YouTu Lab, Shenzhen; Everest Innovation Technology (Altizure), Hong Kong; Department of Computer Science and Engineering, Hong Kong University of Science and Technology",2019 International Conference on Robotics and Automation (ICRA),"12 Aug 2019","2019","","","6359","6365","Accurate relative pose is one of the key components in visual odometry (VO) and simultaneous localization and mapping (SLAM). Recently, the self-supervised learning framework that jointly optimizes the relative pose and target image depth has attracted the attention of the community. Previous works rely on the photometric error generated from depths and poses between adjacent frames, which contains large systematic error under realistic scenes due to reflective surfaces and occlusions. In this paper, we bridge the gap between geometric loss and photometric loss by introducing the matching loss constrained by epipolar geometry in a self-supervised framework. Evaluated on the KITTI dataset, our method outperforms the state-of-the-art unsupervised egomotion estimation methods by a large margin. The code and data are available at https://github.com/hlzz/DeepMatchVO.","2577-087X","978-1-5386-6027-0","10.1109/ICRA.2019.8793479","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8793479","","Simultaneous localization and mapping;Estimation;Geometry;Cameras;Motion estimation;Visualization;Visual odometry","","57","","52","IEEE","12 Aug 2019","","","IEEE","IEEE Conferences"
"BLVD: Building A Large-scale 5D Semantics Benchmark for Autonomous Driving","J. Xue; J. Fang; T. Li; B. Zhang; P. Zhang; Z. Ye; J. Dou","Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, Xi’an, China",2019 International Conference on Robotics and Automation (ICRA),"12 Aug 2019","2019","","","6685","6691","In autonomous driving community, numerous benchmarks have been established to assist the tasks of 3D/2D object detection, stereo vision, semantic/instance segmentation. However, the more meaningful dynamic evolution of the surrounding objects of ego-vehicle is rarely exploited, and lacks a large-scale dataset platform. To address this, we introduce BLVD, a large-scale 5D semantics benchmark which does not concentrate on the static detection or semantic/instance segmentation tasks tackled adequately before. Instead, BLVD aims to provide a platform for the tasks of dynamic 4D (3D+temporal) tracking, 5D (4D+interactive) interactive event recognition and intention prediction. This benchmark will boost the deeper understanding of traffic scenes than ever before. We totally yield 249, 129 3D annotations, 4, 902 independent individuals for tracking with the length of overall 214, 922 points, 6, 004 valid fragments for 5D interactive event recognition, and 4, 900 individuals for 5D intention prediction. These tasks are contained in four kinds of scenarios depending on the object density (low and high) and light conditions (daytime and nighttime). The benchmark can be downloaded from our project site https://github.com/VCCIV/BLVD/.","2577-087X","978-1-5386-6027-0","10.1109/ICRA.2019.8793523","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8793523","","Three-dimensional displays;Benchmark testing;Trajectory;Roads;Task analysis;Semantics;Legged locomotion","","38","","28","IEEE","12 Aug 2019","","","IEEE","IEEE Conferences"
